,Date,Rating,Title,Review
0,17 March 2020,50,It's not noisy,"It may sound noisy initially but if you find a good place at the bar, the noises fade away and you can enjoy the company of your partner. One of the best Hard Rock Cafes one finds anywhere in the world."
1,13 March 2020,40,Good burger and unique atmosphere,"I had a very good burger here. The atmosphere is unique but do not expect hard rock music, there were more rap and pop video clips than rock."
2,24 February 2020,30,!00 people for breakfast,"We pre arranged breakfast for 100 people and they opened at 7am for us. Normal opening time is 8am. Standard USA breakfast, nothing special but was good enough for us before a long day in New York."
3,23 February 2020,50,Combo Platter For Two!,"Nice Decor! Share a platter: crumbed chicken, spring rolls, rosti's, chicken wings, brochetta's, onion rings. Great music, visit the shop."
4,12 February 2020,50,Last drinks before home,This is a great hard rock I've never been to a bad 1 in any country but this is 1 of my favourites so far great surroundings and the staff are brilliant
5,1 February 2020,40,Nice meal,"We booked online beforehand as I went a few years ago and there was quite a wait for walk ins. Food was nice, nothing to boast about but yummy. The staff are friendly and the restaurant is clean. Reasonably priced. Would go again."
6,11 January 2020,40,Very Good,"Not dissapionted at all. It does what it says. Very nice food, drinks & service. We were very well looked after by our server & this is what we have grown to expect from Hard Rock."
7,9 January 2020,40,Lunch before 3PM performance with our grandson. New Yorkers who had never been to the Hard Rock in NY and delighted.,"We all had the Legendary Burger and it was delicious. Service was friendly and very good. Seating comfortable. Big place but we didn't feel closed in. Novel experience and priced well and according to our grandson, best burger sauce ever!"
8,3 January 2020,50,Christmas break in new york,"Had dinner in here with my daughter and granddaughter. Was very very busy but the food was fast, perfectly cooked and plentiful. The drinks also very tasty."
9,31 December 2019,50,Very good,"you have to go in time to get a table but it's worth it, the special hamburger is delicious as well as the tortillas with dissolved cheese and a very good attention"
10,31 December 2019,40,Amazing ribs!,"A very good meal of fajitas, ribs and salads. The only issue was the dressing missed from all three salads but it was put right quickly. Good service. The ribs were amazing. Really enjoyed."
11,29 December 2019,50,American breakfast in the heart of Times Square,"Quick, easy, friendly service. Easy place to get a traditional American breakfast if staying in the Times Square area"
12,29 December 2019,20,Disappointing,"I've been to lots of Hard Rock Cafes round the world and this was the most disappointing. The service was pretty poor, the burgers were really small and the whole experience was simply disappointing. I'd recommend going to Hard Rock Cafe just not this one."
13,27 December 2019,50,Christmas visit,Really friendly staff. Food was well nice and place was nice and clean. Hardly any wait time (we did book a table) very good value for money.
14,12 December 2019,50,Excellent place to visit.,Excellent place to visit. Fun atmosphere. Food good and waiter superb giving us chance to chose our own music. Recommend the vegetable fajitas
15,11 December 2019,10,Terrible!!!!,"Rude bar attendant. Felt very rushed, waitress seemed to constantly glare at us! Cold food. We have been to many hard rock cafes around the globe and this is by far the worst experience we had!!!"
16,6 December 2019,10,Awful place!,What an overrated venue! The staff were horrible! Abrupt and unpleasant. Food was ok if you like spending over the odds for cold food that tastes like it’s straight out of the microwave! Best part was when we left the building!
17,1 December 2019,40,Take Away and Souvenirs,Place was fully packed. We end up ordering our fave take away instead. That is the classic cheeseburger. Of course we didn’t miss out on our t shirt souvenirs.
18,25 November 2019,50,Great venue and restaurant,We attended the first Hard Rock Cafe gala for Teachrock and Steven Van Zandt. Great staff! We had an excellent time at our VIP table and it was a wonderful night to remember.
19,18 November 2019,40,Breakfast,Ate breakfast buffet with daughter while in new York very good selection juices tea coffee yogurts bagels cereal and hot selections 20 dollars each was worth it.
20,7 November 2019,40,Good Hard Rock Cafe,"Great location in Times Square, only disappointment was there were no windows so no view! Food and drinks as good as any other HRC."
21,4 November 2019,40,Great atmosphere!,"Great atmosphere, very good food. I ordered original burger and Chardonnay wine from California and was amazing"
22,28 October 2019,50,Saturday Dinner,We had a great time with Cocktail and dinner. The crowd was electrifying and the wait was very short as we booked table. It was very satisfying and worth visiting again.
23,28 October 2019,40,Birthday tradition,"Always take in a HRC for sons Birthday as we like the busy vibe and the surrounds. Standard offering s at the Times Square establishment. Huge rib rack , cold beers , friendly waiting staff."
24,28 October 2019,50,"Quick, tasty, if a little pricey","Great service, food good, fair to high pricing. No hosts on arrival, but great once we got in. Would recommend for family fun night out"
25,27 October 2019,50,Can’t beat a Hard Rock!,Everywhere we travel we go to a Hard Rock! Good food with friendly staff every time. We never waited for a table.
26,23 October 2019,40,great iconic decor and good food,"amazing service and really good food loved every min of it and really accommodating of my young son being it was very late in the evening, we had a nice dinner and a good look around and were seated so quickly even with NO reservation"
27,22 October 2019,40,Nice decoration,"Good food, very good service and very nice decoration. The location ofcourse is perfect. It's a must place to visit in NY."
28,20 October 2019,50,Very friendly,"Staff couldn’t do enough for us, food was delicious and also the cocktails. The restaurant was very clean and the atmosphere was amazing"
29,17 October 2019,40,Good food,Although they have reduced the food portions it is still a good place to eat and enjoy a full evening with the family.
30,16 October 2019,40,Great casino. Young crowds,"Rooms are nice, food is really good. The only problem I had was that attracts a younger crowd. The location is great, next door from the ocean casino which is my pick for my age. All said I would stay there again."
31,14 October 2019,50,Fab food,"Went here for my partners birthday, food was amazing, service fantastic and cocktails very good! Would definitely go back!"
32,29 September 2019,50,Nice ambiance,I loved it. This is a very big place and took us 45 minutes to get a table. But it was worth it. Food was awesome.
33,27 September 2019,50,Good vibes!,I love the vibes in this place! The service was really good! The food is awesome! I loved the pulled pork sandwich and the orange and feta side salad! Totally recommend if you love rock n roll and good food!
34,8 September 2019,40,First burger in USA = perfect burger,"Our first time in New York, we went to Hard Rock Cafe, order two cheeseburgers. The portion was really big, perfect taste. Good atmosphere.Highly recommend"
35,8 September 2019,50,Happy with our visit!,"Food lush and at an affordable price. Had to wait 30 mins to be seated as it was busy but expected this. Loved the DJ and his music, put everyone in a happy mood. Very busy atmosphere and food still came out very quickly."
36,7 September 2019,50,We loved everything,On a ten day trip to NY we went there for dinner for the last three days in the row. It was the best food and the prices were affordable. The environment was excellent.
37,7 September 2019,50,Cool place,Very nice and cool place to visit. Good food and excellent service. Also good music they are playing in there ! Feel good! Highly recommended.
38,4 September 2019,50,great place,Came here on our first night in New York. Had a great server when we got there. Had a switch out of server part way through enjoyed our first one better.
39,4 September 2019,50,As i earlier said Hard Rock is a religion,"And visiting the cafe in every city, a ritual. Hustle bustle of broadway, snowfall, and a birthday celebration at HRC, sets your spirits up. The staff was amazingly helpful. Foos as usual sumptuous."
40,27 August 2019,40,Busy day out and about.,Decided to call in after a visit to the Empire state building. What a fabulous place. The place its self was very big but spotless . Staff very helpful and polite. Service was quick and friendly. Will definitely call back in .
41,23 August 2019,30,Turn down the AC!!!!,Food and service was typical for the chain but the restaurant was FREEZING! What a waste of energy!!!!
42,18 August 2019,40,Good,This Hard Rock is as good as any other Hard Rock. Staff were friendly. Food was a bit too spicy for our tastes but good. Prices as expected not over the top.
