,Review,Reviews_Token,Reviews_Lemm,Sentiment_TextBlob,Sentiment_VADER,Bigrams,Trigrams,Label
0,may sound noisi initi find good place bar nois fade away enjoy compani partner one best hard rock cafe one find anywher world,"['may', 'sound', 'noisi', 'initi', 'find', 'good', 'place', 'bar', 'nois', 'fade', 'away', 'enjoy', 'compani', 'partner', 'one', 'best', 'hard', 'rock', 'cafe', 'one', 'find', 'anywher', 'world']","['may', 'sound', 'noisi', 'initi', 'find', 'good', 'place', 'bar', 'nois', 'fade', 'away', 'enjoy', 'compani', 'partner', 'one', 'best', 'hard', 'rock', 'cafe', 'one', 'find', 'anywher', 'world']",0.4416666666666667,0.872,"[('may', 'sound'), ('sound', 'noisi'), ('noisi', 'initi'), ('initi', 'find'), ('find', 'good'), ('good', 'place'), ('place', 'bar'), ('bar', 'nois'), ('nois', 'fade'), ('fade', 'away'), ('away', 'enjoy'), ('enjoy', 'compani'), ('compani', 'partner'), ('partner', 'one'), ('one', 'best'), ('best', 'hard'), ('hard', 'rock'), ('rock', 'cafe'), ('cafe', 'one'), ('one', 'find'), ('find', 'anywher'), ('anywher', 'world')]","[('may', 'sound', 'noisi'), ('sound', 'noisi', 'initi'), ('noisi', 'initi', 'find'), ('initi', 'find', 'good'), ('find', 'good', 'place'), ('good', 'place', 'bar'), ('place', 'bar', 'nois'), ('bar', 'nois', 'fade'), ('nois', 'fade', 'away'), ('fade', 'away', 'enjoy'), ('away', 'enjoy', 'compani'), ('enjoy', 'compani', 'partner'), ('compani', 'partner', 'one'), ('partner', 'one', 'best'), ('one', 'best', 'hard'), ('best', 'hard', 'rock'), ('hard', 'rock', 'cafe'), ('rock', 'cafe', 'one'), ('cafe', 'one', 'find'), ('one', 'find', 'anywher'), ('find', 'anywher', 'world')]",Postive
1,good burger atmospher uniqu expect hard rock music rap pop video clip rock,"['good', 'burger', 'atmospher', 'uniqu', 'expect', 'hard', 'rock', 'music', 'rap', 'pop', 'video', 'clip', 'rock']","['good', 'burger', 'atmospher', 'uniqu', 'expect', 'hard', 'rock', 'music', 'rap', 'pop', 'video', 'clip', 'rock']",0.20416666666666664,0.3612,"[('good', 'burger'), ('burger', 'atmospher'), ('atmospher', 'uniqu'), ('uniqu', 'expect'), ('expect', 'hard'), ('hard', 'rock'), ('rock', 'music'), ('music', 'rap'), ('rap', 'pop'), ('pop', 'video'), ('video', 'clip'), ('clip', 'rock')]","[('good', 'burger', 'atmospher'), ('burger', 'atmospher', 'uniqu'), ('atmospher', 'uniqu', 'expect'), ('uniqu', 'expect', 'hard'), ('expect', 'hard', 'rock'), ('hard', 'rock', 'music'), ('rock', 'music', 'rap'), ('music', 'rap', 'pop'), ('rap', 'pop', 'video'), ('pop', 'video', 'clip'), ('video', 'clip', 'rock')]",Postive
2,pre arrang breakfast peopl open us normal open time standard usa breakfast noth special good enough us long day new york,"['pre', 'arrang', 'breakfast', 'peopl', 'open', 'us', 'normal', 'open', 'time', 'standard', 'usa', 'breakfast', 'noth', 'special', 'good', 'enough', 'us', 'long', 'day', 'new', 'york']","['pre', 'arrang', 'breakfast', 'peopl', 'open', 'us', 'normal', 'open', 'time', 'standard', 'usa', 'breakfast', 'noth', 'special', 'good', 'enough', 'us', 'long', 'day', 'new', 'york']",0.1437229437229437,0.6808,"[('pre', 'arrang'), ('arrang', 'breakfast'), ('breakfast', 'peopl'), ('peopl', 'open'), ('open', 'us'), ('us', 'normal'), ('normal', 'open'), ('open', 'time'), ('time', 'standard'), ('standard', 'usa'), ('usa', 'breakfast'), ('breakfast', 'noth'), ('noth', 'special'), ('special', 'good'), ('good', 'enough'), ('enough', 'us'), ('us', 'long'), ('long', 'day'), ('day', 'new'), ('new', 'york')]","[('pre', 'arrang', 'breakfast'), ('arrang', 'breakfast', 'peopl'), ('breakfast', 'peopl', 'open'), ('peopl', 'open', 'us'), ('open', 'us', 'normal'), ('us', 'normal', 'open'), ('normal', 'open', 'time'), ('open', 'time', 'standard'), ('time', 'standard', 'usa'), ('standard', 'usa', 'breakfast'), ('usa', 'breakfast', 'noth'), ('breakfast', 'noth', 'special'), ('noth', 'special', 'good'), ('special', 'good', 'enough'), ('good', 'enough', 'us'), ('enough', 'us', 'long'), ('us', 'long', 'day'), ('long', 'day', 'new'), ('day', 'new', 'york')]",Postive
3,nice decor share platter crumb chicken spring roll rosti chicken wing brochetta onion ring great music visit shop,"['nice', 'decor', 'share', 'platter', 'crumb', 'chicken', 'spring', 'roll', 'rosti', 'chicken', 'wing', 'brochetta', 'onion', 'ring', 'great', 'music', 'visit', 'shop']","['nice', 'decor', 'share', 'platter', 'crumb', 'chicken', 'spring', 'roll', 'rosti', 'chicken', 'wing', 'brochetta', 'onion', 'ring', 'great', 'music', 'visit', 'shop']",0.05000000000000002,0.8442,"[('nice', 'decor'), ('decor', 'share'), ('share', 'platter'), ('platter', 'crumb'), ('crumb', 'chicken'), ('chicken', 'spring'), ('spring', 'roll'), ('roll', 'rosti'), ('rosti', 'chicken'), ('chicken', 'wing'), ('wing', 'brochetta'), ('brochetta', 'onion'), ('onion', 'ring'), ('ring', 'great'), ('great', 'music'), ('music', 'visit'), ('visit', 'shop')]","[('nice', 'decor', 'share'), ('decor', 'share', 'platter'), ('share', 'platter', 'crumb'), ('platter', 'crumb', 'chicken'), ('crumb', 'chicken', 'spring'), ('chicken', 'spring', 'roll'), ('spring', 'roll', 'rosti'), ('roll', 'rosti', 'chicken'), ('rosti', 'chicken', 'wing'), ('chicken', 'wing', 'brochetta'), ('wing', 'brochetta', 'onion'), ('brochetta', 'onion', 'ring'), ('onion', 'ring', 'great'), ('ring', 'great', 'music'), ('great', 'music', 'visit'), ('music', 'visit', 'shop')]",Postive
4,great hard rock never bad countri favourit far great surround staff brilliant,"['great', 'hard', 'rock', 'never', 'bad', 'countri', 'favourit', 'far', 'great', 'surround', 'staff', 'brilliant']","['great', 'hard', 'rock', 'never', 'bad', 'countri', 'favourit', 'far', 'great', 'surround', 'staff', 'brilliant']",0.44305555555555554,0.9377,"[('great', 'hard'), ('hard', 'rock'), ('rock', 'never'), ('never', 'bad'), ('bad', 'countri'), ('countri', 'favourit'), ('favourit', 'far'), ('far', 'great'), ('great', 'surround'), ('surround', 'staff'), ('staff', 'brilliant')]","[('great', 'hard', 'rock'), ('hard', 'rock', 'never'), ('rock', 'never', 'bad'), ('never', 'bad', 'countri'), ('bad', 'countri', 'favourit'), ('countri', 'favourit', 'far'), ('favourit', 'far', 'great'), ('far', 'great', 'surround'), ('great', 'surround', 'staff'), ('surround', 'staff', 'brilliant')]",Postive
5,book onlin beforehand went year ago quit wait walk in food nice noth boast yummi staff friendli restaur clean reason price would go,"['book', 'onlin', 'beforehand', 'went', 'year', 'ago', 'quit', 'wait', 'walk', 'in', 'food', 'nice', 'noth', 'boast', 'yummi', 'staff', 'friendli', 'restaur', 'clean', 'reason', 'price', 'would', 'go']","['book', 'onlin', 'beforehand', 'go', 'year', 'ago', 'quit', 'wait', 'walk', 'in', 'food', 'nice', 'noth', 'boast', 'yummi', 'staff', 'friendli', 'restaur', 'clean', 'reason', 'price', 'would', 'go']",0.48333333333333334,0.6705,"[('book', 'onlin'), ('onlin', 'beforehand'), ('beforehand', 'go'), ('go', 'year'), ('year', 'ago'), ('ago', 'quit'), ('quit', 'wait'), ('wait', 'walk'), ('walk', 'in'), ('in', 'food'), ('food', 'nice'), ('nice', 'noth'), ('noth', 'boast'), ('boast', 'yummi'), ('yummi', 'staff'), ('staff', 'friendli'), ('friendli', 'restaur'), ('restaur', 'clean'), ('clean', 'reason'), ('reason', 'price'), ('price', 'would'), ('would', 'go')]","[('book', 'onlin', 'beforehand'), ('onlin', 'beforehand', 'go'), ('beforehand', 'go', 'year'), ('go', 'year', 'ago'), ('year', 'ago', 'quit'), ('ago', 'quit', 'wait'), ('quit', 'wait', 'walk'), ('wait', 'walk', 'in'), ('walk', 'in', 'food'), ('in', 'food', 'nice'), ('food', 'nice', 'noth'), ('nice', 'noth', 'boast'), ('noth', 'boast', 'yummi'), ('boast', 'yummi', 'staff'), ('yummi', 'staff', 'friendli'), ('staff', 'friendli', 'restaur'), ('friendli', 'restaur', 'clean'), ('restaur', 'clean', 'reason'), ('clean', 'reason', 'price'), ('reason', 'price', 'would'), ('price', 'would', 'go')]",Postive
6,dissapiont say nice food drink servic well look server grown expect hard rock,"['dissapiont', 'say', 'nice', 'food', 'drink', 'servic', 'well', 'look', 'server', 'grown', 'expect', 'hard', 'rock']","['dissapiont', 'say', 'nice', 'food', 'drink', 'servic', 'well', 'look', 'server', 'grown', 'expect', 'hard', 'rock']",0.15416666666666665,0.5423,"[('dissapiont', 'say'), ('say', 'nice'), ('nice', 'food'), ('food', 'drink'), ('drink', 'servic'), ('servic', 'well'), ('well', 'look'), ('look', 'server'), ('server', 'grown'), ('grown', 'expect'), ('expect', 'hard'), ('hard', 'rock')]","[('dissapiont', 'say', 'nice'), ('say', 'nice', 'food'), ('nice', 'food', 'drink'), ('food', 'drink', 'servic'), ('drink', 'servic', 'well'), ('servic', 'well', 'look'), ('well', 'look', 'server'), ('look', 'server', 'grown'), ('server', 'grown', 'expect'), ('grown', 'expect', 'hard'), ('expect', 'hard', 'rock')]",Postive
7,legendari burger delici servic friendli good seat comfort big place feel close novel experi price well accord grandson best burger sauc ever,"['legendari', 'burger', 'delici', 'servic', 'friendli', 'good', 'seat', 'comfort', 'big', 'place', 'feel', 'close', 'novel', 'experi', 'price', 'well', 'accord', 'grandson', 'best', 'burger', 'sauc', 'ever']","['legendari', 'burger', 'delici', 'servic', 'friendli', 'good', 'seat', 'comfort', 'big', 'place', 'feel', 'close', 'novel', 'experi', 'price', 'well', 'accord', 'grandson', 'best', 'burger', 'sauc', 'ever']",0.5666666666666667,0.9186,"[('legendari', 'burger'), ('burger', 'delici'), ('delici', 'servic'), ('servic', 'friendli'), ('friendli', 'good'), ('good', 'seat'), ('seat', 'comfort'), ('comfort', 'big'), ('big', 'place'), ('place', 'feel'), ('feel', 'close'), ('close', 'novel'), ('novel', 'experi'), ('experi', 'price'), ('price', 'well'), ('well', 'accord'), ('accord', 'grandson'), ('grandson', 'best'), ('best', 'burger'), ('burger', 'sauc'), ('sauc', 'ever')]","[('legendari', 'burger', 'delici'), ('burger', 'delici', 'servic'), ('delici', 'servic', 'friendli'), ('servic', 'friendli', 'good'), ('friendli', 'good', 'seat'), ('good', 'seat', 'comfort'), ('seat', 'comfort', 'big'), ('comfort', 'big', 'place'), ('big', 'place', 'feel'), ('place', 'feel', 'close'), ('feel', 'close', 'novel'), ('close', 'novel', 'experi'), ('novel', 'experi', 'price'), ('experi', 'price', 'well'), ('price', 'well', 'accord'), ('well', 'accord', 'grandson'), ('accord', 'grandson', 'best'), ('grandson', 'best', 'burger'), ('best', 'burger', 'sauc'), ('burger', 'sauc', 'ever')]",Postive
8,dinner daughter granddaught busi food fast perfectli cook plenti drink also tasti,"['dinner', 'daughter', 'granddaught', 'busi', 'food', 'fast', 'perfectli', 'cook', 'plenti', 'drink', 'also', 'tasti']","['dinner', 'daughter', 'granddaught', 'busi', 'food', 'fast', 'perfectli', 'cook', 'plenti', 'drink', 'also', 'tasti']",0.2,0.0,"[('dinner', 'daughter'), ('daughter', 'granddaught'), ('granddaught', 'busi'), ('busi', 'food'), ('food', 'fast'), ('fast', 'perfectli'), ('perfectli', 'cook'), ('cook', 'plenti'), ('plenti', 'drink'), ('drink', 'also'), ('also', 'tasti')]","[('dinner', 'daughter', 'granddaught'), ('daughter', 'granddaught', 'busi'), ('granddaught', 'busi', 'food'), ('busi', 'food', 'fast'), ('food', 'fast', 'perfectli'), ('fast', 'perfectli', 'cook'), ('perfectli', 'cook', 'plenti'), ('cook', 'plenti', 'drink'), ('plenti', 'drink', 'also'), ('drink', 'also', 'tasti')]",Neutral
9,go time get tabl worth special hamburg delici well tortilla dissolv chees good attent,"['go', 'time', 'get', 'tabl', 'worth', 'special', 'hamburg', 'delici', 'well', 'tortilla', 'dissolv', 'chees', 'good', 'attent']","['go', 'time', 'get', 'tabl', 'worth', 'special', 'hamburg', 'delici', 'well', 'tortilla', 'dissolv', 'chees', 'good', 'attent']",0.4523809523809524,0.8225,"[('go', 'time'), ('time', 'get'), ('get', 'tabl'), ('tabl', 'worth'), ('worth', 'special'), ('special', 'hamburg'), ('hamburg', 'delici'), ('delici', 'well'), ('well', 'tortilla'), ('tortilla', 'dissolv'), ('dissolv', 'chees'), ('chees', 'good'), ('good', 'attent')]","[('go', 'time', 'get'), ('time', 'get', 'tabl'), ('get', 'tabl', 'worth'), ('tabl', 'worth', 'special'), ('worth', 'special', 'hamburg'), ('special', 'hamburg', 'delici'), ('hamburg', 'delici', 'well'), ('delici', 'well', 'tortilla'), ('well', 'tortilla', 'dissolv'), ('tortilla', 'dissolv', 'chees'), ('dissolv', 'chees', 'good'), ('chees', 'good', 'attent')]",Postive
